x,y
48.767527,2.352372
48.804571,2.515919
48.841789,2.247041
48.843095,2.34459
48.844413,2.298418
48.859894,2.368084
48.861409,2.383841
48.866771,2.335798
48.870678,2.343902
48.879441,2.17302
48.891542,2.348334
48.927273,2.487171
48.927509,2.2113
